case_id,question_id,question,answer,category,context_day,context_start,context_end,agents_in_context,query_user,query_user_status,top_self_current_summary,top_self_history_summary,top_external_current_summary,top_external_history_summary,candidate_historical_helpful,likely_case_type,notes,needs_human_review
HISTV1_001,1402,Who used the cabinet the most before 1PM on DAY4?,Shure,environmental_interaction,4,10:52:39.00,11:49:17.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_002,1527,Who used the mirror the most after 6PM on DAY4?,Shure,environmental_interaction,4,18:15:07.00,22:23:58.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_003,1528,Who used the mirror the most after 6PM on DAY6?,Katrina,environmental_interaction,6,19:28:52.00,20:53:48.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_004,1564,Who used the piano the most after 6PM on DAY6?,Nicous,environmental_interaction,6,19:29:43.00,20:59:08.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_005,1577,When was the first time power bank was used after 6PM on DAY3?,6 PM,environmental_interaction,3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_006,1579,Who used the power bank the most after 6PM on DAY3?,Jake,environmental_interaction,3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_007,729,What collaborative task did Jack initiate when it was time for the next song during the rehearsal?,He used the microphone to organize the singing order.,task_coordination,6,19:50:00.00,19:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_008,831,"In cleaning coordination, what sequence did the participants use to ensure cleaning and follow-through in different events?","They completed first-floor cleaning before planning, and later followed Tasha’s proposed steps while Jake prepared materials.",task_coordination,2,22:00:00.00,22:05:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_009,735,Who helped finalize the arrangement for ensuring everyone accessed what they needed during cleanup tasks after performance event?,Jake by confirming they’d help delete unnecessary data,task_coordination,6,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_010,455,"During the cleaning sequence, whose idea was it to avoid cooking at home in the future?",Tasha suggested it because no one wants to do the dishes.,task_coordination,2,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_011,475,What did Tasha propose when organizing the gift exchange task?,To taste the drinks after sorting the cups.,task_coordination,3,11:35:00.00,11:40:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,Tasha,inferred_weak,"Tasha D3 11:40:00.00-11:50:00.00: I'm sitting at a table with Jake, Lucia, Shure, Alice, Tasha and Katrina, engaged in a water-tasting challenge, attempting to distinguish...","Tasha D1 19:27:00.00-19:27:30.00: Sitting on the bed, I begin by expressing how I feel full and hungry quickly, considering eating less, but more frequently as a solution.... || Tasha D1 12:36:00.00-12:36:30.00: Alright, I'm at a table on Day 1 with Jake, Alice, and Shure. We are trying to put together some kind of wooden puzzle or art piece on th...","Alice D3 11:30:00.00-11:40:00.00: it's Day 3, and I was mostly just chilling in the living room, completely engrossed in my phone, browsing Xiaohongshu. I started by looki... || Lucia D3 11:38:30.00-11:39:00.00: Alright, here's what I did. I started by opening the network on my phone, then heard Tasha say, ""Let's go."" I returned to the page on my ...","Jake D2 13:48:30.00-13:49:00.00: The video begins with me overhearing Alice mentioning someone brought something, followed by Katrina stating that there isn't a gift exch... || Lucia D2 21:27:00.00-21:27:30.00: I am sitting at a table with Alice and Tasha, engaging in a conversation about an upcoming gift exchange. Alice initiates the discussion ...",possible,external_history_needed_candidate,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_012,487,"Alright, so if we're talking about how everyone managed the game tokens at the arcade, how was the last coin at one point planned to be used?",It was given to Jake for him to decide what to do with it.,task_coordination,3,16:10:00.00,16:15:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_013,1113,"Which of the following happened first? A) Lucia oversaw reimbursements and dismantled a cabinet before departure planning B) Alice coordinated takeout ordering and kitchen prep after organizing groceries, C) Shure managed recording setups while the group planned meals and budgets, D) Katrina led themed room planning and wrapped up the session, E) Jake finalized plans for the evening BBQ and post-dinner activities,",E,temporal_reasoning,1,12:10:00.00,20:10:00.00,Jake;Alice;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_014,1161,"Which of the following happened first? A) Katrina checked messages on WeChat after discussing food, B) Alice filled a bottle with water in the bathroom, C) Jake used a hole punch to make holes in a bag D) Lucia drank water while watching Shure and Katrina, E) Tasha washed dishes and organized bowls at the sink,",B,temporal_reasoning,1,12:14:00.00,12:14:30.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_015,1165,"Which of the following happened last? A) Tasha led evening cleanup and planned next day's activities, B) Lucia curated dance videos and finished sketching a cat for art, C) Katrina rehearsed music with Shure and mentored Nicous on guitar D) Alice finalized event roles and schedules for the evening program, E) Jake wrapped picnic setup and concluded filming of the gathering,",C,temporal_reasoning,1,12:10:00.00,14:20:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_016,1186,"Which is the correct sequence of events? A) Lucia helped finalize an Earth Day-themed coin-and-auction event plan, B) Alice guided park route decisions after checking the tourist map and discussing vending machine issues, C) Jake went shopping at a supermarket with a problematic cart and browsed beverages and housewares",A-B-C,temporal_reasoning,1,11:50:00.00,14:20:00.00,Jake;Alice;Tasha;Lucia;Katrina,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_017,1360,"When Jake was walking with Nicous and Tasha carrying a package behind the houses, and Alice was listening to sad love songs and finishing a star, what was Shure doing?",Cleaning up the trash and packing it into a box while chatting with Katrina.,temporal_reasoning,6,11:36:00.00,11:36:30.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
HISTV1_018,1095,"Which of the following happened last? A) Jake systematically scanned all rooms with his phone to document the space B) Tasha multitasked on her phone and instructed refrigerating dessert before the meal, C) Katrina settled on a simple upbeat dance during pancake cooking, D) Alice filmed Shure’s drum game and tried the claw machine, E) Lucia coordinated cake layering and joined the group for outdoor dining,",A,temporal_reasoning,2,11:00:00.00,11:10:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,possible,needs_manual_review,Heuristic retrieval signal only; do not treat as answer accuracy or final source label.,yes
