question_id,category,subcategory,question,options_json,answer,contexts_json
0,social_interaction,single_span,Who chimed in to suggest simpler ways to organize desserts during dessert planning?,"[""Tasha and Alice, planning detailed preparations"", ""Jake and Katrina, introducing innovative steps"", ""Lucia and Katrina, thinking of ready-made options"", ""Katrina and Tasha, with Shure listening nearby"", ""Jake and Shure, speaking briefly but seriously""]","Katrina and Tasha, with Shure listening nearby","{""DAY1_12150000_12200000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
1,social_interaction,single_span,Who suggested ‘switching sides’ while arranging the puzzle?,"[""Tasha, after noticing edge problems."", ""Jake, to distract from his phone usage."", ""Shure, while holding glasses."", ""Katrina, while rearranging items."", ""Alice, laughing to lighten the mood.""]","Katrina, while rearranging items.","{""DAY1_12450000_12500000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
2,social_interaction,single_span,"When Katrina helped finalize the list on the whiteboard, who seemed most actively giving her suggestions?","[""Shure and Jake"", ""Lucia and Tasha"", ""Jake and Alice"", ""Tasha and Shure"", ""Lucia and Alice""]",Lucia and Tasha,"{""DAY1_13500000_13550000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
3,social_interaction,single_span,"When everyone was chatting about supplies, who made a comment on coffee liqueur and when?","[""Shure mentioned it when grabbing drinks from Alice."", ""Jake revealed it when suggesting desserts."", ""Tasha casually debated whether it was useful at all."", ""Lucia discovered it while talking about recipes."", ""Alice pointed it out while cleaning.""]",Shure mentioned it when grabbing drinks from Alice.,"{""DAY1_13550000_14000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
4,social_interaction,single_span,"Who seemed the most amused by the idea of cardboard greeters, and what was their reaction?","[""Jake laughed and playfully suggested adding more decorations."", ""Shure sarcastically referred to it as a groundbreaking innovation."", ""Alice humorously mentioned keeping all boxes just to make more dogs."", ""Lucia giggled at her own idea and acted it out jokingly."", ""Tasha feigned shock at how creative Lucia was.""]",Alice humorously mentioned keeping all boxes just to make more dogs.,"{""DAY1_13550000_14000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
5,social_interaction,single_span,Who laughed at the comment made about strawberries lasting only three days?,"[""Shure, sarcastically guessing the lifespan of strawberries."", ""Alice, adding a light-hearted remark."", ""Katrina, responding with humor while writing."", ""Lucia, finding the conversation funny."", ""Jake, joking about being unable to eat them in time.""]","Jake, joking about being unable to eat them in time.","{""DAY1_13550000_14000000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
6,social_interaction,single_span,Who was laughing about rotating roast chicken and what was the interaction like?,"[""Alice and Tasha discussed the chicken stand but started laughing halfway through."", ""Jake was showing Alice the chicken stand while making it spin."", ""Jake enjoyed how it rotates in the oven, and Tasha joined in with him."", ""Shure and Jake talked about roasting techniques together."", ""Lucia pointed out the stand’s use, and Jake made jokes about it.""]","Jake enjoyed how it rotates in the oven, and Tasha joined in with him.","{""DAY1_14050000_14100000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
7,social_interaction,single_span,What shared joke did the group make about buying a watch?,"[""Tasha imitated a jingle about buying watches."", ""Tasha made a joke about buying a watch when time felt slow."", ""Shure and Tasha joked about buying a clock and saving time."", ""Jake and Shure joked about watches being anti-human."", ""Alice suggested taking turns buying watches for the group.""]",Tasha imitated a jingle about buying watches.,"{""DAY1_14050000_14100000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
8,social_interaction,single_span,What were Jake and Tasha discussing when Jake was cleaning the sink?,"[""How to organize tools"", ""A roast chicken recipe"", ""Microwave instructions"", ""Which bottle of water belonged to whom"", ""Sleeping schedules and time management""]",Sleeping schedules and time management,"{""DAY1_14050000_14100000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""SHURE""]}"
9,social_interaction,single_span,Who sarcastically suggested giving the location a poor review?,"[""Lucia raised the possibility first in irritation."", ""Jake sarcastically criticized while laughing."", ""Alice brought up reviews as a humorous solution."", ""Tasha said it mockingly after crossing."", ""Shure suggested it while frustrated.""]",Shure suggested it while frustrated.,"{""DAY1_17100000_17150000"": [""JAKE"", ""ALICE"", ""TASHA"", ""LUCIA"", ""KATRINA"", ""SHURE""]}"
