question_id,query,answer_options,count_quantity,visual_detail_color,brand_logo_ocr_text,spatial_location,audio_speech,temporal_history,multi_user_copresence,external_source_candidate,raw_visual_needed,gaze_relevant,pose_fov_relevant,communication_sensitive,primary_evidence_route,likely_minimal_evidence_route
2026_q0001,At what rate was Cathal charging his car on the last day?,a: 2300w | b: 1700w | c: 800w | d: 1000w,1,0,0,0,0,1,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_history;auxiliary_modality
2026_q0002,At what temperature did Allie put the sausages in the oven?,a: 190c | b: 200c | c: 180c | d: 170c,1,0,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;auxiliary_modality
2026_q0003,"During the first day workshop opening presentations, where was the notebook computer placed?",a: On a folding ladder | b: On a high chair brought from the kitchen | c: On an ottoman chair | d: On a wooden chair brought from the dining table,0,0,1,1,0,1,0,0,1,1,1,0,self_highres_crop,self_highres_crop;self_history;self_raw_frame;self_short_clip;auxiliary_modality
2026_q0004,"During the Mamamoo Happy Quiz round, what colour is the quiz buzzer that team Cathal and Ononang used?",a: Yellow | b: Green | c: Blue | d: Red,0,1,0,0,0,1,1,1,1,1,0,1,self_raw_frame,self_raw_frame;self_history;self_short_clip;external_user_view;auxiliary_modality
2026_q0005,During what topic on the Happy Quiz did Florian's SD card fill up?,a: Movies | b: Electronics | c: Geography | d: Crypto,0,0,0,0,1,1,0,0,0,0,0,0,self_audio,self_audio;self_history;self_short_clip
2026_q0006,For what challenge was Cathal working on queries while Allie and Klaus were playing chess next to him?,a: Vbs | b: Trec | c: Clef | d: Ntcir,0,0,0,1,0,1,1,1,1,1,1,1,self_raw_frame,self_raw_frame;self_history;self_short_clip;external_user_view;auxiliary_modality
2026_q0007,"How did Florian get the answer for the quiz question ""Who is the father of AI?""",a: From his memory | b: Asking chatgpt | c: Googling | d: Asking siri,0,0,0,0,1,0,1,1,0,0,0,1,external_user_audio,external_user_audio;self_audio;external_user_view
2026_q0008,"How did the chess game, that Allie played after winning against Werner, end?",a: Klaus won | b: Luca won | c: Allie won | d: Draw/undecided,0,0,0,0,0,1,1,1,0,0,0,1,self_history,self_history;self_short_clip;external_user_view
2026_q0009,How fast did Cathal state he was going in an 80 km/h zone?,a: 85 | b: 67 | c: 73 | d: 63,1,0,0,0,1,0,0,0,1,1,0,0,self_audio,self_audio;self_raw_frame;auxiliary_modality
2026_q0010,How many carrots did Luca peel for Allie?,a: 5 | b: 9 | c: 3 | d: 7,1,1,0,0,0,0,1,1,1,1,0,1,self_raw_frame,self_raw_frame;self_highres_crop;external_user_view;auxiliary_modality
2026_q0011,How many cars are parked around the house?,a: 1 | b: 3 | c: 2 | d: 4,1,1,0,1,0,0,0,1,1,1,1,1,self_raw_frame,self_raw_frame;self_highres_crop;external_user_view;static_room_source;auxiliary_modality
2026_q0012,How many chessboards are there?,a: One | b: Four | c: Two | d: Three,1,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_highres_crop;auxiliary_modality
2026_q0013,How many colored pens were in the box?,a: 24 | b: 6 | c: 12 | d: 18,1,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_highres_crop;auxiliary_modality
2026_q0014,How many cookies were on the first tray to go into the oven?,a: 16 | b: 15 | c: 14 | d: 12,1,1,0,0,0,1,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_history;self_highres_crop;auxiliary_modality
2026_q0015,How many cups were on the kitchen island around the sink on Day 2 in the morning?,a: 4 | b: 6 | c: 5 | d: 7,1,1,0,1,0,1,0,0,1,1,1,0,self_raw_frame,self_raw_frame;self_history;self_highres_crop;static_room_source;auxiliary_modality
2026_q0016,How many duck sculptures are on the top shelf to the right of the fireplace?,a: 3 | b: 6 | c: 5 | d: 4,1,1,0,1,0,0,0,0,1,1,1,0,self_raw_frame,self_raw_frame;self_highres_crop;static_room_source;auxiliary_modality
2026_q0017,How many egg yolks were used to make the cinnamon star cookies?,a: 6 | b: 12 | c: 0 | d: 1,1,1,0,0,0,0,0,0,1,1,0,0,self_raw_frame,self_raw_frame;self_highres_crop;auxiliary_modality
