case_id,question_id,category,question,answer,context_day,context_start,context_end,agents_in_context,provisional_query_user,query_user_status,top_self_current_caption,top_self_history_caption,top_external_current_caption,top_external_history_caption,top_all_agents_current_caption,top_all_agents_history_caption,human_query_user,query_user_valid,is_self_first_suitable,self_current_sufficient,self_history_sufficient,external_current_sufficient,external_history_sufficient,historical_memory_helpful,final_case_type,oracle_source_agent,oracle_time_window,oracle_caption,audit_notes,keep_for_demo
HISTV1_001,1402,environmental_interaction,Who used the cabinet the most before 1PM on DAY4?,Shure,4,10:52:39.00,11:49:17.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,"Shure D4 11:25:00.00-11:25:30.00 30sec rank=1 score=6.7647 | I started by picking up a spatula and proceeded to place slices of bread together in a pan that was on the stovetop. Subsequently, I placed chopsticks into a nearby bowl, temporarily setting them aside. Switching hands, I then used the spatula with my other hand, pressing down on the bread slices in the pan. I pressed the bread slice with the spatula twice. Next, I used the spatula to flip one of the slices of bread over in the pan. I placed the spatula again on top of the bread slices to press it. After that, I briefly turned to my left, catching sight of Lucia, and I briefly adjusted my glasses. I turned left again. Following this, I walked forward a short distance, before returning to the stove. Once back at the stove, I picked up the spatula again and grabbed the handle of the pot. I pressed the bread slices again. Finally, I used the spatula to lift the slice of bread before flipping it over in the pan.","Lucia D2 18:06:00.00-18:06:30.00 30sec rank=1 score=13.5580 | Okay, I start by saying, ""I'll just rinse it, it's fine,"" and then I place a bowl in the kitchen sink. Continuing, I say, ""Yeah, but the others... The bowls up there shouldn't have been used much."" I then proceed to take another bowl from the cabinet. While taking the bowls out, I mention, ""I'll take them all out first,"" and then specify, ""Just get 8 of these small bowls first."" I successfully remove three bowls from the cabinet. Alice chimes in, stating, ""Hand-torn cabbage tastes better,"" and I observe her placing something, presumably hand-torn cabbage, into the sink. Alice then questions, ""Who knows that?"" I then retreat a few steps backward. Upon noticing something, I exclaim, ""Oh, great, we have cabbage!"" I then resume the task of taking bowls from the cabinet on the first floor. I momentarily look down at my phone and remark, ""Hmm, I thought we used up all the cabbage yesterday."" Again, I lower my head to check my phone. After checking my phone, I use my right hand to close the cabinet door, and subsequently pick up a bowl with my left hand. Finally, I place the bowl into the sink where Alice is preparing the food. She says, ""No, I only used the leaves, not the core"" and I reply ""Okay"".",,,,,,,,,,,,,,
HISTV1_002,1527,environmental_interaction,Who used the mirror the most after 6PM on DAY4?,Shure,4,18:15:07.00,22:23:58.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,"Shure D4 18:29:00.00-18:29:30.00 30sec rank=1 score=8.2110 | I begin by adjusting my glasses, after which I hear Jake state, ""I purposely opened my eyes wide."" I proceed to walk towards the kitchen area, eventually reaching the stove. I then turn to my left, and I hear Lucia say, ""Hmm,"" followed by, ""Because it's hard to draft,"" and Jake adds, ""And big eyes."" I take a bite of a roasted sweet potato, and Jake interjects with ""Oh."" I walk forward, and Lucia suggests, ""So just use that expression,"" while Alice walks back towards his room. I turn to my right and hear Lucia say, ""Emoji mode,"" as she continues speaking. Having finished the sweet potato, I walk towards a mirror, pausing to look at myself. Jake then says, ""He can't,"" and I adjust my glasses once again. I turn left after that, and Jake adds, ""You need to give him the lyrics."" I look in Jake's direction, then continue walking forward, and Tasha remarks, ""Teacher Yang needs you the most right now."" I walk towards Jake's computer, squat down, and shuffle a bit. Finally, I swipe the touchpad and begin operating his computer.","Shure D4 13:08:00.00-13:08:30.00 30sec rank=1 score=11.8310 | The egocentric video continues to record, as evidenced by the timestamp ""DAY4"" at the top left corner, indicating it's still active. My perspective remains fixed on the ceiling, and I overhear voices coming from the living room again. I discern a voice, identified as ""Jake"", who asks a question: ""What have you been busy with these days?"". The recording device, integrated within my glasses, persists in capturing both the visual and auditory information, even though it remains focused on the same unchanging scene.",,,,,,,,,,,,,,
HISTV1_003,1528,environmental_interaction,Who used the mirror the most after 6PM on DAY6?,Katrina,6,19:28:52.00,20:53:48.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,"Lucia D6 19:53:30.00-19:54:00.00 30sec rank=1 score=10.7670 | The scene opens with me sitting amongst a group of people, most of whom are facing towards a projector screen at the front of the room. It’s DAY6, as indicated in the upper left corner of the frame. Jake adjusts his posture, while Violet sways in the background. My primary focus throughout the duration of the video is on my phone, which I am holding in my hand. The screen displays text in what appears to be Chinese. I continue to scroll and look at the content on my phone. I swipe up on the screen to navigate through the content displayed. The overall atmosphere is joyful, accompanied by the sound of Shure singing in the background.","Alice D6 14:36:30.00-14:37:00.00 30sec rank=1 score=11.5056 | I'm in a room with several other people, seemingly on ""DAY6."" There's a table covered with a red and white checkered tablecloth that is filled with ingredients and equipment. Initially, I'm holding a blender in my hands, and there's a bowl of what appears to be filling next to me. I'm using chopsticks to mix the contents of the bowl. I observe someone in a green jacket standing near the table, examining the numerous small tart shells laid out on the table. Another individual wearing a blue shirt is occupied with something towards the other end of the table. At one point, I see a third person wearing a red shirt and jeans walk towards the kitchen area. Later on, this person comes back and is handed something by the person in the blue shirt. As I continue to hold the bowl, the individual in the red shirt hands a carton of eggs to the person in the green jacket. I keep mixing the ingredients in the bowl. The room is a bit cluttered, and it appears we're preparing something together, most likely the filling for the tarts.",,,,,,,,,,,,,,
HISTV1_004,1564,environmental_interaction,Who used the piano the most after 6PM on DAY6?,Nicous,6,19:29:43.00,20:59:08.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,"Lucia D6 19:53:30.00-19:54:00.00 30sec rank=1 score=10.9944 | The scene opens with me sitting amongst a group of people, most of whom are facing towards a projector screen at the front of the room. It’s DAY6, as indicated in the upper left corner of the frame. Jake adjusts his posture, while Violet sways in the background. My primary focus throughout the duration of the video is on my phone, which I am holding in my hand. The screen displays text in what appears to be Chinese. I continue to scroll and look at the content on my phone. I swipe up on the screen to navigate through the content displayed. The overall atmosphere is joyful, accompanied by the sound of Shure singing in the background.","Alice D4 22:03:00.00-22:03:30.00 30sec rank=1 score=14.6943 | I observe Jake questioning the limited options presented by a program, exclaiming, ""Just three options?"". Katrina responds, ""For the opening, just pick one of three,"" followed by, ""Can't even pick one out of three."" Lucia then initiates a conversation about a piano room, stating ""You said there's no piano room,"" expressing her disappointment with, ""So sad, pat pat,"" upon learning about the potential lack of a piano room. Shure mentions that there's only one public piano in the entire school, specifying its location as Shahe. Lucia asks where, and Shure clarifies, ""Shahe."" Lucia responds ""Ah"" and Jake asks, ""Where is it?"", followed by Lucia's reiteration of ""In Shahe,"" to which Jake replies, ""Alright then."" Katrina then asks ""What's that?"" upon hearing about the piano. ""Just one shared piano"" Katrina expresses. Alice asks, ""The Shahe campus?"", leading Katrina to question ""Shared what?"". Lucia confirmed it was ""Still at Shahe."" In a conversational lull, a discussion starts. I also participated in the discussion. Shortly after Shure exclaims, ""Hey, where the hell did my phone go?"" Katrina then urges someone to choose, repeating, ""You choose yourself,"" and then advising, ""You choose, or pick the one you're most familiar with."" Jake comments, ""Color chain paper."" Lucia then brings up the piano room again, inquiring, ""I thought we had to pay to use the piano room at our school,"" expressing surprise with, ""That's already quite unbelievable,"" upon hearing the potential existence of a free public piano in Shahe. Lucia said that the piano room at their school requires payment. Shure then starts to say, ""Then...""",,,,,,,,,,,,,,
HISTV1_005,1577,environmental_interaction,When was the first time power bank was used after 6PM on DAY3?,6 PM,3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,"Jake D3 19:39:30.00-19:40:00.00 30sec rank=1 score=19.8615 | I started by connecting the first power bank to the camera's power cable, then turned the power bank on. Next, I unplugged the data cable connected to the first power bank. Following that, I plugged the data cable into the second power bank. After ensuring the connection, I looked up briefly to visually check the camera's status, presumably to confirm it was receiving power. I then turned to my right and began walking forward. I continued walking straight, eventually approaching the corner of the kitchen. I then walked towards the other room.","Shure D2 21:42:30.00-21:43:00.00 30sec rank=1 score=19.5303 | Alright, let me recap what I did. First, I checked my phone and then unplugged the power bank that was connected to it. I commented, ""My power bank is completely drained now,"" as I put the power bank down. Next, I adjusted my glasses and sighed audibly. I then walked towards the kitchen area. I picked up another power bank from a surface in the kitchen, and then put it back down. After that, I picked up a data cable. I vocalized, ""Constantly looking forward to tomorrow,"" then picked up the power bank once more. I began humming a tune as I said, ""But it turns into yesterday."" Finally, I put the power bank down again, and then placed my phone down as well.",,,,,,,,,,,,,,
HISTV1_006,1579,environmental_interaction,Who used the power bank the most after 6PM on DAY3?,Jake,3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,"Jake D3 18:15:30.00-18:16:00.00 30sec rank=1 score=17.3238 | I'm moving a power bank around on a somewhat cluttered table. I first attempt to plug it into the computer, but the initial orientation is incorrect, so I rotate it and try again, still unsuccessfully. I rotate it a second time and finally manage to insert the power bank's connector into the port. Then I pick up my glasses, but the power cord gets tangled, so I lift it up, set it back down briefly, and then pick it up again. Finally, I place the power bank on the table, acknowledging that it isn't in the most ideal spot.","Jake D1 20:27:30.00-20:28:00.00 30sec rank=1 score=14.6059 | Okay, let's get started! In this egocentric video, I'm focused on repairing some glasses. Lucia points out that the glasses' battery is low, so we need to keep them plugged in. After some discussion, I hand the glasses to Lucia, who then puts a power bank in her pocket. I glance over at Tasha, who is still nearby, seemingly examining activity issues near a blackboard. I then look down at my phone before I tell Lucia, who's next to me, that keeping the power bank plugged in is a good idea in case anyone else runs out of battery, and that it's not a storage issue, but a power issue. Afterwards, I adjust my own glasses.",,,,,,,,,,,,,,
HISTV1_007,729,task_coordination,What collaborative task did Jack initiate when it was time for the next song during the rehearsal?,He used the microphone to organize the singing order.,6,19:50:00.00,19:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,"Katrina D6 19:50:00.00-20:00:00.00 10min rank=1 score=13.4751 | I started the evening in my yellow-lit bedroom, singing ""Sunny Day"" with Shure accompanying me on guitar. I paused recording briefly when Nicous was looking for something, but then resumed to capture Shure's performance. After that song, we discussed what to play next, suggestions flying about like ""Add a piano,"" ""Quicksand,"" and ""New Boy."" Katrina insisted we play whatever we wanted. Amidst the chatter, I grabbed my water, and we decided on a D major chord progression of Canon; I handed the mic to Shure. I joked about it being ""very sophisticated."" Shure began searching for lyrics on his phone. I snapped a couple of photos of the group and checked them to see if the lyrics were legible. Then I opened up a Xiaohongshu conversation with Lucia. As Lucia sent messages, ""Which song are we shooting?"" ""where's Tasha"", I peeked at posts on her homepage, and then jumped into WeChat, viewing messages from Jake complaining about skipping work. After exiting WeChat, I did some audio testing of Shure before opening my camera app again to record him playing the guitar while Jack held the mic. There were more interruptions as they addressed some technical issues, including someone complaining about the sound being too loud. Then, after cancelling another recording, the next song started, with ""Jack"" answering ""Why did you call me up?"" I started to really get into the music, humming and singing, enjoying Shure's playing, Jack's mic placement, and the others. I also checked my phone screen and saw Nicous looked very serious playing the electric keyboard in front of him. Choiszt eventually stepped out to take a call. Eventually, the song ended, and Shure started a series of greetings that marked the start of the performance. We all laughed, and I took a sip of my water. Shure then suggested that XBZ should do a song, and he and Nicous continued to set up the sound system while I took another sip of water. Katrina then pointed out ""Haha, this popped out"" as Nicous worked on a circuit. I adjusted my glasses and watched Nicous, while ""Male Guest"" said the music was making him want to cry. Nicous prepared to play the keyboard, and I exclaimed about ""the music of the heavens"" and told everyone to ""Get ready to cry"" before holding up my phone to record. During ""Unforgettable Tonight,"" I watched Shure and was so amused when the Male Guest said ""We've been drinking all day"" I had to giggle, then I recorded Alice as well while Shure and Nicous were working in the background, then later asked them if this was ""The Ego House."" Then I recorded him and a female guest commented, ""You guys sit down."" and ""Alice"" joked that she forgot to hang her clothes. Nicous continued reciting ""We'll never forget tonight"" as Shure started reciting something, but it was unclear. I pointed my phone towards Shure and joked about ""Embracing the happiness of tomorrow"" as Nicous played on. I tried to keep the camera on Shure while he and Nicous argued that the tune was incorrect and Nicous complained that he didn't memorize the lyrics. He said, ""He's just winging it, damn"" before I put the phone down. Later, I focused on Nicous as Shure recited the song lyrics as I adjusted my glasses. After a short break, I started recording again, pointing the camera towards Shure while he was singing ""Unforgettable Tonight"" again. I smiled and enjoyed the music. Afterwards, I briefly captured scenes where Shure was encouraging us to join the ""wonderful Ego Life"" as well as making remarks about my friend and asking ""Have you been this crazy every day?"". While doing this, I recorded Shure reciting a piece called ""Ego Life."" I jokingly slapped my face during the recording and took some short glances at Jake sitting on the ground.","Jake D4 20:59:00.00-20:59:30.00 30sec rank=1 score=21.1991 | I am currently kneading dough while in the living room with Katrina and Shure. I initiate a conversation about the song selection process, stating that the three of them need to decide on a song. Katrina mentions changing the meeting process to include just the three of us. I agree and reiterate the need to decide on the song, which we will arrange for the next day. Katrina questions who can sing and suggests Ke Xin. I confirm that we'll go over it the next day, gesturing with my arm. Katrina proposes a chorus with no dancing. Alice announces that she can sing. I confirm they will practice tomorrow, specifying that the next day is just a rehearsal. Shure expresses agreement. As the conversation continues, and facing towards the door, I indicate that it is also for ratings. Shure glances at Katrina. Katrina proposes that they sing together, otherwise, it'll be only the two of us. I acknowledge her statement with agreement.",,,,,,,,,,,,,,
HISTV1_008,831,task_coordination,"In cleaning coordination, what sequence did the participants use to ensure cleaning and follow-through in different events?","They completed first-floor cleaning before planning, and later followed Tasha’s proposed steps while Jake prepared materials.",2,22:00:00.00,22:05:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,"Alice D2 21:50:00.00-22:00:00.00 10min rank=1 score=8.7208 | I had just finished washing the pot, noticing how much cleaner it was after scrubbing with the steel wool. I poured the water out and even refilled it a couple of times to make sure it was spotless. I was so focused on cleaning that my hair kept getting in the way! After putting the pot away, I noticed I had made a bit of a mess on the table with water and some oil. ""Oh no,"" I muttered to myself before grabbing some wet wipes and really cleaning it up, making sure to get every last bit of residue and any stray water droplets. I squeezed out the excess water from the wipes and even used running water to rinse the area around the table. Then, I did a final cleanup of the sink and threw away the trash, even using some paper to wipe my hands. After that, I went into the bathroom and washed my hands again, making sure to get rid of any oily residue I was feeling. I then turned off the bathroom light, thinking about Katrina and that giant pendulum ride at the park, and walked back to where my friends were, all glued to their phones. I went to the other restroom, turned on the faucet and put hand sanitizer on. I mentioned that I had just finished doing dishes! I wiped up some spilled water on the floor and threw away my gloves since I was done washing. I even brushed my hair a bit, then went back into the bathroom again to make sure my hands were clean, paying attention to any oil that might still be on them. I used a tissue to dry them, making sure to get my sleeve which had a bit of oil on it. Back in the main room, I turned off the light again and walked over to the table. I picked up a garbage bag and checked my appearance, then asked if there was anything else I needed to do. I grabbed the wipes and some tissues to make sure everything was clean. I noticed Katrina was on the sofa. I wiped off some trash from the table and Katrina asked if I was coming again tomorrow, so I threw away the tissue and went towards the kitchen to look around. I went back towards the side of the table where my friends were and asked Lucia if she had seen my thread. She gave me my glasses charging cable. Shure mentioned they were sleepy and Katrina said she wanted to shower. I plugged my glasses in to charge and Katrina suggested Xihai park. Shure said just sing. I put my ring and bracelet back on. ""This is California"" I said, ""I'm laughing to death"" I sat down next to Tasha who was focused on her computer. I brought my skirt up to my face and sniffed it. Alice mentioned my bracelet and I thought maybe I had gotten oil on my dress. I discovered it belonged to Shure and handed it to her. I asked what Tasha was doing, she was working on an essay! I watched her and Alice mentioned she was tired. I said Beijing was perfect for pictures with Fujifilm cameras and Shure agreed. I then removed my glasses and put them on my lap, hearing them talking. I put my glasses back on the table and heard Katrina say the park was pretty and to go to Xihai park. I listened to them talking about Shure making people sing and picked up a pair of glasses to put them back on the face of the person to my left and looked towards my friends. I then picked up my phone and started browsing, eventually sharing a photo with a friend through a chat app and continuing to chat. I found a meme to send to a friend and deleted some public accounts. I then scrolled through Moments and started to browse for other things. Then Choiszt entered the room and started talking to the group and I got up to join a few friends who were across from me to participate in the conversation that he had started.","Shure D2 15:53:00.00-15:53:30.00 30sec rank=1 score=21.6727 | then bending down briefly before resuming quicker stepping motions, seemingly in coordination with the on-screen content. With a focused gaze, I watch the screen intently. At one point, I extend my hand forward, briefly holding the position before retracting it, and this gesture is repeated, mirroring actions seen on the screen. Throughout this, all participants, including myself, appear to be studying the video diligently, attempting to follow along with its instructions or choreography. Towards the end, we raise both arms.",,,,,,,,,,,,,,
HISTV1_009,735,task_coordination,Who helped finalize the arrangement for ensuring everyone accessed what they needed during cleanup tasks after performance event?,Jake by confirming they’d help delete unnecessary data,6,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Shure,UNKNOWN,unknown,,,,,"Lucia D6 21:06:30.00-21:07:00.00 30sec rank=1 score=7.9063 | I am at what seems to be an outdoor event. I start by glancing briefly at Alice, and then turn my head to look at her again. Alice then also turns her head, taking a look around the space. Shortly after, I direct my gaze towards Jake. At that moment, a friend of Alice's approaches the group, walking behind Alice. I then engage in conversation with them, speaking to Alice and her friend in Shaanxi dialect, and I continue to converse with them for the remainder of the video.","Jake D6 20:20:00.00-20:30:00.00 10min rank=1 score=19.2191 | Alright, here's what happened during that ten-minute stretch: I was mostly focused on helping Shure and the others with sheet music during their jam session. At first, I was assisting Shure, sliding the tablet up to keep the music in view as he played the guitar. There was this awkward moment when Shure seemed annoyed with his girlfriend, Nicous, for being on her phone, even calling her ""dumb"" at one point. Eventually, they worked things out. Then the focus shifted to Katrina who sang beautifully while Shure played the guitar and Nicous accompanied on the electronic keyboard. Later, everyone encouraged me to sing, suggesting ""Love to Win,"" which made me laugh, but I politely declined the microphone Shure tried to give me, saying ""No need, no need."" They started joking about sending me to Shandong. Choiszt took over on guitar, and I helped him with the sheet music on the tablet, swiping up as needed to follow along with the song on the large screen. At one point, Jack got him a microphone and I enjoyed listening to Choiszt sing some Cantonese songs, exclaiming ""Wow, Xie Bin Zhu"" and clapping after he finished. Eventually, the focus moved to Nicous with everyone urging him to sing. I was often looking back and forth between the screen and the people who were performing. Throughout it all, I was adjusting the tablet with my right hand, making sure everyone had the right sheet music, and just trying to enjoy the music and the company. I recall Jake mentioning to turn the tablet over, and that was the reason for adjusting it.",,,,,,,,,,,,,,
HISTV1_010,455,task_coordination,"During the cleaning sequence, whose idea was it to avoid cooking at home in the future?",Tasha suggested it because no one wants to do the dishes.,2,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,UNKNOWN,unknown,,,,,"Shure D2 21:04:30.00-21:05:00.00 30sec rank=1 score=14.4909 | the video captures a conversation where Katrina is discussing the intensity of studying during final exam week and the experimental class she was in, noting the high recommendation rate of 40% and her own luck in getting in despite her low GPA. I then take out my phone and start using it as Katrina continues to explain that no one applied to the class the year she got in. During this conversation, Tasha is cleaning up the table, and Alice is moving items toward the kitchen, later asking, ""Whose are these two? Still drinking?"". Throughout the latter half of the video, I am primarily focused on my phone, while Alice unpacks a white plastic bag next to a dining table set with a small gas stove and other cooking utensils, while others are next to her.","Shure D2 21:04:30.00-21:05:00.00 30sec rank=1 score=19.5801 | the video captures a conversation where Katrina is discussing the intensity of studying during final exam week and the experimental class she was in, noting the high recommendation rate of 40% and her own luck in getting in despite her low GPA. I then take out my phone and start using it as Katrina continues to explain that no one applied to the class the year she got in. During this conversation, Tasha is cleaning up the table, and Alice is moving items toward the kitchen, later asking, ""Whose are these two? Still drinking?"". Throughout the latter half of the video, I am primarily focused on my phone, while Alice unpacks a white plastic bag next to a dining table set with a small gas stove and other cooking utensils, while others are next to her.",,,,,,,,,,,,,,
