case_id,question_id,question,answer,category,provisional_query_user,query_user_status,current_only_answerability,historical_only_answerability,current_plus_historical_answerability,current_to_current_plus_gain,likely_case_bucket,best_evidence_scope,best_evidence_summary,recommended_keep_for_next_stage,reason
HISTV1_001,1402,Who used the cabinet the most before 1PM on DAY4?,Shure,environmental_interaction,UNKNOWN,unknown,unclear,not_answerable,unclear,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=6.7647 source=Shure D4 11:25:00.00-11:25:30.00] I started by picking up a spatula and proceeded to place slices of bread together in a pan that was on the stovetop. Subsequently, I placed chopsticks into a nearby bowl, temporarily setting them aside. Switching hands, I then used the spatula with my other hand, pressing down on the bread slices in the pan. I pressed the bread slice with the spatula twice. Next, I used the spatula to flip one of the slices of bread over in the pan. I placed the spatula again on top of the bread slices to press it. After that, I briefly turned to my left, catching sight of Luc...",no,"current=unclear (global/statistical/temporal question with partial lexical overlap; caption coverage may be too local) | history=not_answerable (global/statistical/temporal question and this evidence scope does not expose enough answer-related coverage) | current+history=unclear (global/statistical/temporal question with partial lexical overlap; caption coverage may be too local) | gain=no | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_002,1527,Who used the mirror the most after 6PM on DAY4?,Shure,environmental_interaction,UNKNOWN,unknown,unclear,partially_answerable,partially_answerable,yes,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=8.2110 source=Shure D4 18:29:00.00-18:29:30.00] I begin by adjusting my glasses, after which I hear Jake state, ""I purposely opened my eyes wide."" I proceed to walk towards the kitchen area, eventually reaching the stove. I then turn to my left, and I hear Lucia say, ""Hmm,"" followed by, ""Because it's hard to draft,"" and Jake adds, ""And big eyes."" I take a bite of a roasted sweet potato, and Jake interjects with ""Oh."" I walk forward, and Lucia suggests, ""So just use that expression,"" while Alice walks back towards his room. I turn to my right and hear Lucia say, ""Emoji mode,"" as she continues speaking. Havin...",no,"current=unclear (global/statistical/temporal question with partial lexical overlap; caption coverage may be too local) | history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | current+history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | gain=yes | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_003,1528,Who used the mirror the most after 6PM on DAY6?,Katrina,environmental_interaction,UNKNOWN,unknown,partially_answerable,not_answerable,partially_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=10.7670 source=Lucia D6 19:53:30.00-19:54:00.00] The scene opens with me sitting amongst a group of people, most of whom are facing towards a projector screen at the front of the room. It’s DAY6, as indicated in the upper left corner of the frame. Jake adjusts his posture, while Violet sways in the background. My primary focus throughout the duration of the video is on my phone, which I am holding in my hand. The screen displays text in what appears to be Chinese. I continue to scroll and look at the content on my phone. I swipe up on the screen to navigate through the content displayed. The overall atmosph...",no,"current=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | history=not_answerable (global/statistical/temporal question and this evidence scope does not expose enough answer-related coverage) | current+history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | gain=no | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_004,1564,Who used the piano the most after 6PM on DAY6?,Nicous,environmental_interaction,UNKNOWN,unknown,partially_answerable,unclear,partially_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=10.9944 source=Lucia D6 19:53:30.00-19:54:00.00] The scene opens with me sitting amongst a group of people, most of whom are facing towards a projector screen at the front of the room. It’s DAY6, as indicated in the upper left corner of the frame. Jake adjusts his posture, while Violet sways in the background. My primary focus throughout the duration of the video is on my phone, which I am holding in my hand. The screen displays text in what appears to be Chinese. I continue to scroll and look at the content on my phone. I swipe up on the screen to navigate through the content displayed. The overall atmosph...",no,"current=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | history=unclear (global/statistical/temporal question with partial lexical overlap; caption coverage may be too local) | current+history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | gain=no | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_005,1577,When was the first time power bank was used after 6PM on DAY3?,6 PM,environmental_interaction,UNKNOWN,unknown,not_answerable,not_answerable,not_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=19.8615 source=Jake D3 19:39:30.00-19:40:00.00] I started by connecting the first power bank to the camera's power cable, then turned the power bank on. Next, I unplugged the data cable connected to the first power bank. Following that, I plugged the data cable into the second power bank. After ensuring the connection, I looked up briefly to visually check the camera's status, presumably to confirm it was receiving power. I then turned to my right and began walking forward. I continued walking straight, eventually approaching the corner of the kitchen. I then walked towards the other room. [all_agents_curre...",no,"current=not_answerable (evidence does not contain enough answer-relevant caption content) | history=not_answerable (evidence does not contain enough answer-relevant caption content) | current+history=not_answerable (evidence does not contain enough answer-relevant caption content) | gain=no | bucket=not_self_first_or_unclear | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_006,1579,Who used the power bank the most after 6PM on DAY3?,Jake,environmental_interaction,UNKNOWN,unknown,partially_answerable,partially_answerable,partially_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=17.3238 source=Jake D3 18:15:30.00-18:16:00.00] I'm moving a power bank around on a somewhat cluttered table. I first attempt to plug it into the computer, but the initial orientation is incorrect, so I rotate it and try again, still unsuccessfully. I rotate it a second time and finally manage to insert the power bank's connector into the port. Then I pick up my glasses, but the power cord gets tangled, so I lift it up, set it back down briefly, and then pick it up again. Finally, I place the power bank on the table, acknowledging that it isn't in the most ideal spot. [all_agents_current rank=2 score=16.660...",no,"current=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | current+history=partially_answerable (global/statistical/temporal question; captions mention answer-related terms but may not cover enough events to verify the full comparison/order) | gain=no | bucket=not_self_first_or_unclear | global/statistical/temporal question requires conservative answerability | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_007,729,What collaborative task did Jack initiate when it was time for the next song during the rehearsal?,He used the microphone to organize the singing order.,task_coordination,UNKNOWN,unknown,likely_answerable,unclear,likely_answerable,no,current_sufficient,current_plus_historical,"[all_agents_current rank=1 score=13.4751 source=Katrina D6 19:50:00.00-20:00:00.00] I started the evening in my yellow-lit bedroom, singing ""Sunny Day"" with Shure accompanying me on guitar. I paused recording briefly when Nicous was looking for something, but then resumed to capture Shure's performance. After that song, we discussed what to play next, suggestions flying about like ""Add a piano,"" ""Quicksand,"" and ""New Boy."" Katrina insisted we play whatever we wanted. Amidst the chatter, I grabbed my water, and we decided on a D major chord progression of Canon; I handed the mic to Shure. I joked about it being ""very sophisticated."" Shure b...",unclear,"current=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | history=unclear (evidence has lexical overlap but does not clearly support the answer) | current+history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | gain=no | bucket=current_sufficient | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_008,831,"In cleaning coordination, what sequence did the participants use to ensure cleaning and follow-through in different events?","They completed first-floor cleaning before planning, and later followed Tasha’s proposed steps while Jake prepared materials.",task_coordination,UNKNOWN,unknown,likely_answerable,likely_answerable,likely_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=8.7208 source=Alice D2 21:50:00.00-22:00:00.00] I had just finished washing the pot, noticing how much cleaner it was after scrubbing with the steel wool. I poured the water out and even refilled it a couple of times to make sure it was spotless. I was so focused on cleaning that my hair kept getting in the way! After putting the pot away, I noticed I had made a bit of a mess on the table with water and some oil. ""Oh no,"" I muttered to myself before grabbing some wet wipes and really cleaning it up, making sure to get every last bit of residue and any stray water droplets. I squeezed out the excess water fr...",no,"current=likely_answerable (evidence covers key answer terms and strongly overlaps with the question context) | history=likely_answerable (evidence covers key answer terms and strongly overlaps with the question context) | current+history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | gain=no | bucket=not_self_first_or_unclear | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_009,735,Who helped finalize the arrangement for ensuring everyone accessed what they needed during cleanup tasks after performance event?,Jake by confirming they’d help delete unnecessary data,task_coordination,UNKNOWN,unknown,partially_answerable,unclear,likely_answerable,yes,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=7.9063 source=Lucia D6 21:06:30.00-21:07:00.00] I am at what seems to be an outdoor event. I start by glancing briefly at Alice, and then turn my head to look at her again. Alice then also turns her head, taking a look around the space. Shortly after, I direct my gaze towards Jake. At that moment, a friend of Alice's approaches the group, walking behind Alice. I then engage in conversation with them, speaking to Alice and her friend in Shaanxi dialect, and I continue to converse with them for the remainder of the video. [all_agents_current rank=2 score=7.4860 source=Jake D6 21:04:30.00-21:05:00.00] The vide...",no,"current=partially_answerable (evidence covers some answer keywords but may not fully support the answer) | history=unclear (evidence has lexical overlap but does not clearly support the answer) | current+history=likely_answerable (evidence covers key answer terms and strongly overlaps with the question context) | gain=yes | bucket=not_self_first_or_unclear | query_user is UNKNOWN, so self-first interpretation remains provisional"
HISTV1_010,455,"During the cleaning sequence, whose idea was it to avoid cooking at home in the future?",Tasha suggested it because no one wants to do the dishes.,task_coordination,UNKNOWN,unknown,likely_answerable,likely_answerable,likely_answerable,no,not_self_first_or_unclear,current_plus_historical,"[all_agents_current rank=1 score=14.4909 source=Shure D2 21:04:30.00-21:05:00.00] the video captures a conversation where Katrina is discussing the intensity of studying during final exam week and the experimental class she was in, noting the high recommendation rate of 40% and her own luck in getting in despite her low GPA. I then take out my phone and start using it as Katrina continues to explain that no one applied to the class the year she got in. During this conversation, Tasha is cleaning up the table, and Alice is moving items toward the kitchen, later asking, ""Whose are these two? Still drinking?"". Throughout the latter half of th...",no,"current=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | history=likely_answerable (evidence covers key answer terms and strongly overlaps with the question context) | current+history=likely_answerable (evidence covers most answer keywords and overlaps with the question context) | gain=no | bucket=not_self_first_or_unclear | query_user is UNKNOWN, so self-first interpretation remains provisional"
