case_id,question_id,category,subcategory,question,answer,options_json,context_day,context_start,context_end,agents_in_context,selection_score,query_user,query_user_status,needs_human_review,notes
HISTV1_001,1402,environmental_interaction,environmental_interaction,Who used the cabinet the most before 1PM on DAY4?,Shure,"[""Shure"", ""Jake"", ""Tasha"", ""Alice"", ""Katrina""]",4,10:52:39.00,11:49:17.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_002,1527,environmental_interaction,environmental_interaction,Who used the mirror the most after 6PM on DAY4?,Shure,"[""Jake"", ""Alice"", ""Shure"", ""Tasha"", ""Lucia""]",4,18:15:07.00,22:23:58.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_003,1528,environmental_interaction,environmental_interaction,Who used the mirror the most after 6PM on DAY6?,Katrina,"[""Tasha"", ""Katrina"", ""Shure"", ""Lucia"", ""Alice""]",6,19:28:52.00,20:53:48.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_004,1564,environmental_interaction,environmental_interaction,Who used the piano the most after 6PM on DAY6?,Nicous,"[""Katrina"", ""Shure"", ""Nicous"", ""Lucia"", ""Tasha""]",6,19:29:43.00,20:59:08.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_005,1577,environmental_interaction,environmental_interaction,When was the first time power bank was used after 6PM on DAY3?,6 PM,"[""9 PM"", ""6 PM"", ""8 PM"", ""7 PM"", ""10 PM""]",3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_006,1579,environmental_interaction,environmental_interaction,Who used the power bank the most after 6PM on DAY3?,Jake,"[""Tasha"", ""Katrina"", ""Alice"", ""Jake"", ""Lucia""]",3,18:07:23.00,20:48:55.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,16,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_007,729,task_coordination,single_span,What collaborative task did Jack initiate when it was time for the next song during the rehearsal?,He used the microphone to organize the singing order.,"[""He managed the seating arrangement for the performers."", ""He suggested dividing tasks among the team."", ""He used the microphone to organize the singing order."", ""He led a group discussion to decide on the playlist."", ""He adjusted the volume on the electronic keyboard.""]",6,19:50:00.00,19:55:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,15,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_008,831,task_coordination,multi_span,"In cleaning coordination, what sequence did the participants use to ensure cleaning and follow-through in different events?","They completed first-floor cleaning before planning, and later followed Tasha’s proposed steps while Jake prepared materials.","[""They completed first-floor cleaning before planning, and later followed Tasha’s proposed steps while Jake prepared materials."", ""They completed first-floor cleaning before planning, and later followed Katrina’s proposed steps while Katrina prepared materials."", ""They finished cleaning the first floor before planning, and later followed Katrina’s proposed steps while Katrina prepared materials."", ""They planned before completing first-floor cleaning, and later followed Tasha’s proposed steps while Jake prepared materials."", ""They planned before completing first-floor cleaning, and later followed Katrina’s proposed steps while Katrina prepared materials.""]",2,22:00:00.00,22:05:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,15,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_009,735,task_coordination,single_span,Who helped finalize the arrangement for ensuring everyone accessed what they needed during cleanup tasks after performance event?,Jake by confirming they’d help delete unnecessary data,"[""Shure by handling the task execution directly"", ""Tasha by ensuring sorted files were distributed accordingly"", ""Jake by confirming they’d help delete unnecessary data"", ""Lucia by creating a plan and distributing tasks"", ""Alice by instructing the group to wait until cleanup day""]",6,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Shure,14,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
HISTV1_010,455,task_coordination,single_span,"During the cleaning sequence, whose idea was it to avoid cooking at home in the future?",Tasha suggested it because no one wants to do the dishes.,"[""Tasha suggested it because no one wants to do the dishes."", ""Shure sarcastically pointed out how much effort cleaning requires."", ""Lucia complained about the cooking space, prompting the idea."", ""Katrina mentioned how difficult it was to clean the greasy surfaces post-meal."", ""Jake proposed it to reduce the workload of cleaning.""]",2,21:05:00.00,21:10:00.00,Jake;Alice;Tasha;Lucia;Katrina;Shure,13,UNKNOWN,unknown,yes,query_user is provisional; candidate selected by text heuristics only
