case_id,question_id,question,answer_options,primary_category,likely_minimal_evidence_route,relevant_ar_signal,why_caption_may_or_may_not_be_enough,raw_frame_needed,audio_needed,external_source_may_be_needed,progressive_communication_matters,suggested_next_inspection_action
raw_visual_needed_01_2026_q0010,2026_q0010,How many carrots did Luca peel for Allie?,a: 5 | b: 9 | c: 3 | d: 7,raw_visual_needed,self_raw_frame;self_highres_crop;external_user_view;auxiliary_modality,"co-presence, source ownership, and static/other-user view routing",A self caption may not include evidence from another participant or static room camera.,1,0,1,1,Compare self metadata with other-user/static source availability before pulling external evidence.
raw_visual_needed_02_2026_q0011,2026_q0011,How many cars are parked around the house?,a: 1 | b: 3 | c: 2 | d: 4,raw_visual_needed,self_raw_frame;self_highres_crop;external_user_view;static_room_source;auxiliary_modality,"co-presence, source ownership, and static/other-user view routing",A self caption may not include evidence from another participant or static room camera.,1,0,1,1,Compare self metadata with other-user/static source availability before pulling external evidence.
raw_visual_needed_03_2026_q0020,2026_q0020,How many flower pots are on the black bench outside the front door of the house?,a: 2 | b: 3 | c: 4 | d: 1,raw_visual_needed,self_raw_frame;self_highres_crop;external_user_view;static_room_source;auxiliary_modality,"co-presence, source ownership, and static/other-user view routing",A self caption may not include evidence from another participant or static room camera.,1,0,1,1,Compare self metadata with other-user/static source availability before pulling external evidence.
raw_visual_needed_04_2026_q0012,2026_q0012,How many chessboards are there?,a: One | b: Four | c: Two | d: Three,raw_visual_needed,self_raw_frame;self_highres_crop;auxiliary_modality,gaze plus high-resolution visual crop/frame,"A caption may omit small counts, colors, labels, or fine-grained object details.",1,0,0,0,Inspect a timestamped raw frame or high-resolution crop; avoid VLM inference until evidence is shortlisted.
raw_visual_needed_05_2026_q0013,2026_q0013,How many colored pens were in the box?,a: 24 | b: 6 | c: 12 | d: 18,raw_visual_needed,self_raw_frame;self_highres_crop;auxiliary_modality,gaze plus high-resolution visual crop/frame,"A caption may omit small counts, colors, labels, or fine-grained object details.",1,0,0,0,Inspect a timestamped raw frame or high-resolution crop; avoid VLM inference until evidence is shortlisted.
audio_speech_01_2026_q0165,2026_q0165,Who suggested turning the camera on during the potential power outage?,a: Cathal | b: Stevan | c: Florian | d: Allie,audio_speech,external_user_audio;self_history;self_audio;self_short_clip;external_user_view,audio transcript/speech attribution,"A visual caption may miss exact wording, speaker attribution, or stated facts.",0,1,1,1,Inspect transcript JSON around the candidate interval before requesting any frames.
audio_speech_02_2026_q0104,2026_q0104,What task did Luca want Bjorn and Werner to do for him when he was baking on day 2 morning?,a: Licking the hand mixer | b: Cleaning the pot | c: Buying more milk | d: Heating the oven,audio_speech,external_user_audio;self_history;self_audio;self_short_clip;external_user_view,audio transcript/speech attribution,"A visual caption may miss exact wording, speaker attribution, or stated facts.",0,1,1,1,Inspect transcript JSON around the candidate interval before requesting any frames.
audio_speech_03_2026_q0166,2026_q0166,Who was asked by Bjorn to chop the ginger finely?,a: Werner | b: Luca | c: Stevan | d: Tien,audio_speech,external_user_audio;self_audio;external_user_view,audio transcript/speech attribution,"A visual caption may miss exact wording, speaker attribution, or stated facts.",0,1,1,1,Inspect transcript JSON around the candidate interval before requesting any frames.
audio_speech_04_2026_q0078,2026_q0078,What game did Bjorn suggest to play with the cameras?,"a: Hide and seek | b: Chicken | c: Freeze tag | d: Red light, green light",audio_speech,external_user_audio;self_audio;self_raw_frame;external_user_view;auxiliary_modality,audio transcript/speech attribution,"A visual caption may miss exact wording, speaker attribution, or stated facts.",1,1,1,1,Inspect transcript JSON around the candidate interval before requesting any frames.
audio_speech_05_2026_q0021,2026_q0021,"How many km away did Allie live from Cambodia, according to Cathal?",a: 10 km | b: 100 km | c: 250 km | d: 50 km,audio_speech,external_user_audio;self_audio;self_raw_frame;external_user_view;auxiliary_modality,audio transcript/speech attribution,"A visual caption may miss exact wording, speaker attribution, or stated facts.",1,1,1,1,Inspect transcript JSON around the candidate interval before requesting any frames.
spatial_location_pose_fov_01_2026_q0114,2026_q0114,What was the brand of model airplane that was sitting on the table while people were building a tower with the wooden blocks?,a: Superfly | b: Revell | c: Tamina | d: Airfix,spatial_location_pose_fov,self_highres_crop;self_history;self_raw_frame;self_short_clip;external_user_view;auxiliary_modality,pose/FOV and gaze for viewpoint narrowing,"A caption may describe the scene but miss exact placement, viewpoint, or off-FOV context.",1,0,1,1,"Use pose/FOV and gaze metadata to shortlist the interval, then inspect a frame or static view if needed."
spatial_location_pose_fov_02_2026_q0093,2026_q0093,What number is on the door of Cathal's room?,a: 7 | b: 3 | c: 9 | d: 5,spatial_location_pose_fov,self_raw_frame;external_user_view;static_room_source;auxiliary_modality,pose/FOV and gaze for viewpoint narrowing,"A caption may describe the scene but miss exact placement, viewpoint, or off-FOV context.",1,0,1,1,"Use pose/FOV and gaze metadata to shortlist the interval, then inspect a frame or static view if needed."
spatial_location_pose_fov_03_2026_q0030,2026_q0030,How many paintings are hanging over the large couch?,a: 3 | b: 6 | c: 4 | d: 5,spatial_location_pose_fov,self_raw_frame;self_highres_crop;static_room_source;auxiliary_modality,pose/FOV and gaze for viewpoint narrowing,"A caption may describe the scene but miss exact placement, viewpoint, or off-FOV context.",1,0,0,0,"Use pose/FOV and gaze metadata to shortlist the interval, then inspect a frame or static view if needed."
